Company,High Level Industry Sector,Low Level Industry Sector
NETCOMPANY,Information and Communication,IT consulting and software development
NETS DENMARK,Financial and Insurance,Financial technology and payments
Nordea Bank,Financial and Insurance,Banking
NORDEA DANMARK,Financial and Insurance,Banking
NORLYS DIGITAL,Information and Communication,Digital infrastructure and telecom
NORLYS MOBILE,Information and Communication,Telecommunications
NORMAL,Trade and Transport,Retail trade
Novo Nordisk,Manufacturing,Pharmaceuticals
NOVOZYMES,Manufacturing,Biosolutions and chemical manufacturing
NUUDAY,Information and Communication,Telecommunications
NYKREDIT BANK,Financial and Insurance,Banking and mortgage credit
ODENSE Kommune,"Public, Education and Health",Public administration
PFA PENSION,Financial and Insurance,Pension fund
Post Danmark,Trade and Transport,Postal and courier activities
RAMBØLL DANMARK,Other Business,Engineering and management consultancy
Region Hovedstaden,"Public, Education and Health",Public administration and healthcare
REGION MIDTJYLLAND,"Public, Education and Health",Public administration and healthcare
REGION NORDJYLLAND,"Public, Education and Health",Public administration and healthcare
REGION SYDDANMARK,"Public, Education and Health",Public administration and healthcare
RIGSHOSPITALET,"Public, Education and Health",Public healthcare and hospital
Rigspolitiet,"Public, Education and Health",Law enforcement
Salling Group,Trade and Transport,Retail trade (Supermarkets)
SAXO BANK,Financial and Insurance,Banking and investment
SIEMENS GAMESA RENEWABLE ENERGY,Manufacturing,Wind turbine manufacturing
SILKEBORG Kommune,"Public, Education and Health",Public administration
SKANDERBORG Kommune,"Public, Education and Health",Public administration
SPAREKASSEN DANMARK,Financial and Insurance,Banking
SPAREKASSEN KRONJYLLAND,Financial and Insurance,Banking
SVENDBORG KOMMUNE,"Public, Education and Health",Public administration
SYSTEMATIC,Information and Communication,Software development
TDC BRANDS,Information and Communication,Telecommunications
TELENOR,Information and Communication,Telecommunications
TERMA,Manufacturing,Aerospace and defense manufacturing
THISTED KOMMUNE,"Public, Education and Health",Public administration
TRYG FORSIKRING,Financial and Insurance,Insurance
VEJLE KOMMUNE,"Public, Education and Health",Public administration
VESTAS MANUFACTURING,Manufacturing,Wind turbine manufacturing
VESTAS WIND SYSTEMS,Manufacturing,Wind turbine manufacturing
Wolt Denmark,Trade and Transport,Food delivery and logistics
