Company,High Level Industry Sector,Low Level Industry Sector
Horsens Kommune,"Public, Education and Health",Public administration
IF SKADEFORSIKRING,Financial and Insurance,Insurance
ISS FACILITY SERVICES,Other Business,Facility management and cleaning
ITM8,Information and Communication,IT services and digital transformation
JKS,Other Business,Temp agency and recruitment
JYSK,Trade and Transport,Furniture and home retail
JYSKE BANK,Financial and Insurance,Banking
KEMP & LAURITZEN,Other Business,Technical installation and construction
KIRKBI,Financial and Insurance,Holding and investment (LEGO)
KMD,Information and Communication,IT consulting and software development
KOLDING Kommune,"Public, Education and Health",Public administration
KommuneKredit,Financial and Insurance,Public sector financing
KØBENHAVNS KOMMUNE,"Public, Education and Health",Public administration
KØBENHAVNS UNIVERSITET,"Public, Education and Health",Higher education
KØGE KOMMUNE,"Public, Education and Health",Public administration
L'ORÉAL DANMARK,Trade and Transport,Cosmetics wholesale
LB FORSIKRING,Financial and Insurance,Insurance
LEGO HOLDING,Financial and Insurance,Financial holding company
LEGO SYSTEM,Manufacturing,Toy manufacturing
LEO FONDET,Financial and Insurance,Foundation and holding
LEO Pharma,Manufacturing,Pharmaceuticals
LOLLAND KOMMUNE,"Public, Education and Health",Public administration
LUNDBECKFONDEN,Financial and Insurance,Foundation and holding
Lagkagehuset,Trade and Transport,Bakery retail
Leverandørselskabet Danish Crown,Financial and Insurance,Agricultural cooperative and meat supply
Lidl Danmark K/S,Trade and Transport,Retail trade (Supermarkets)
Lyngby-Taarbæk Kommune,"Public, Education and Health",Public administration
MOMENT,Other Business,Temp agency and recruitment
Maersk,Trade and Transport,Global shipping and logistics
NETCOMPANY,Information and Communication,IT consulting and software development
NETS DENMARK,Financial and Insurance,Financial technology and payments
NORDEA DANMARK,Financial and Insurance,Banking
NORLYS DIGITAL,Information and Communication,Digital infrastructure and telecom
NORLYS MOBILE,Information and Communication,Telecommunications
NORMAL,Trade and Transport,Retail trade
NOVO NORDISK FONDEN,Financial and Insurance,Foundation and holding
NOVOZYMES,Manufacturing,Biosolutions and chemical manufacturing
NPLH HOLDING,Financial and Insurance,Holding company (Coloplast)
NTI,Information and Communication,Software and IT solutions
NYKREDIT BANK,Financial and Insurance,Banking and mortgage credit
Nordea Bank,Financial and Insurance,Banking
Novo Nordisk,Manufacturing,Pharmaceuticals
Novonesis,Manufacturing,Biosolutions and ingredients
ODENSE Kommune,"Public, Education and Health",Public administration
OK-Fonden,"Public, Education and Health",Non-profit nursing and social care
OPERATE TECHNOLOGY,Information and Communication,Web development and digital platforms
OTICON,Manufacturing,Hearing aid manufacturing
PFA PENSION,Financial and Insurance,Pension fund
PHARMACOSMOS HOLDING,Financial and Insurance,Holding company
Pandora,Manufacturing,Jewelry manufacturing
Post Danmark,Trade and Transport,Postal and courier activities
RAMBØLL DANMARK,Other Business,Engineering and management consultancy
REGION MIDTJYLLAND,"Public, Education and Health",Public administration and healthcare
REGION NORDJYLLAND,"Public, Education and Health",Public administration and healthcare
REGION SYDDANMARK,"Public, Education and Health",Public administration and healthcare
RIGSHOSPITALET,"Public, Education and Health",Public healthcare and hospital
ROYAL UNIBREW,Manufacturing,Beverage manufacturing
Region Hovedstaden,"Public, Education and Health",Public administration and healthcare
Rigspolitiet,"Public, Education and Health",Law enforcement
SALLING GROUP,Trade and Transport,Retail trade (Supermarkets)
SAXO BANK,Financial and Insurance,Banking and investment
SICCADANIA,Manufacturing,Industrial process equipment
SIEMENS GAMESA RENEWABLE ENERGY,Manufacturing,Wind turbine manufacturing
SILKEBORG Kommune,"Public, Education and Health",Public administration
SINAL,Information and Communication,Telecommunications
SKANDERBORG Kommune,"Public, Education and Health",Public administration
SPAREKASSEN KRONJYLLAND,Financial and Insurance,Banking
STARK GROUP,Trade and Transport,Building materials wholesale
STIBO SYSTEMS,Information and Communication,Master Data Management software
SVENDBORG KOMMUNE,"Public, Education and Health",Public administration
SYSTEMATIC,Information and Communication,Software development
Sparekassen Danmark,Financial and Insurance,Banking
Sweco Danmark,Other Business,Engineering and architecture
T&W MEDICAL,Financial and Insurance,Holding company (WS Audiology)
TDC BRANDS,Information and Communication,Telecommunications
TDC NET,Information and Communication,Telecommunications infrastructure
TDC NET HOLDING,Financial and Insurance,Holding company
TELENOR,Information and Communication,Telecommunications
TERMA,Manufacturing,Aerospace and defense manufacturing
THISTED KOMMUNE,"Public, Education and Health",Public administration
TOPSOE,Manufacturing,Chemicals and green energy tech
TOPSØE HOLDING,Financial and Insurance,Holding company
TRACKUNIT,Information and Communication,Fleet management software and IoT
TRYG FORSIKRING,Financial and Insurance,Insurance
VEJLE KOMMUNE,"Public, Education and Health",Public administration
VESTAS MANUFACTURING,Manufacturing,Wind turbine manufacturing
VESTAS WIND SYSTEMS,Manufacturing,Wind turbine manufacturing
William Demant Invest,Financial and Insurance,Investment Holding
Wolt Denmark,Trade and Transport,Food delivery and logistics
ÅRHUS UNIVERSITETSHOSPITAL,"Public, Education and Health",Public healthcare and hospital
