Company,High Level Industry Sector,Low Level Industry Sector
LYNGBY-TAARBÆK KOMMUNE,"Public, Education and Health",Public administration
MAERSK,Trade and Transport,Global shipping and logistics
MOMENT,Other Business,Temp agency and recruitment
NETCOMPANY,Information and Communication,IT consulting and software development
NETS DENMARK,Financial and Insurance,Financial technology and payments
NORDEA BANK,Financial and Insurance,Banking
NORDEA DANMARK,Financial and Insurance,Banking
NORLYS DIGITAL,Information and Communication,Digital infrastructure and telecom
NORLYS MOBILE,Information and Communication,Telecommunications
NORMAL,Trade and Transport,Retail trade
NOVO NORDISK,Manufacturing,Pharmaceuticals
NOVOZYMES,Manufacturing,Biosolutions and chemical manufacturing
NYKREDIT BANK,Financial and Insurance,Banking and mortgage credit
ODENSE KOMMUNE,"Public, Education and Health",Public administration
PFA PENSION,Financial and Insurance,Pension fund
POST DANMARK,Trade and Transport,Postal and courier activities
RAMBØLL DANMARK,Other Business,Engineering and management consultancy
REGION HOVEDSTADEN,"Public, Education and Health",Public administration and healthcare
REGION MIDTJYLLAND,"Public, Education and Health",Public administration and healthcare
REGION NORDJYLLAND,"Public, Education and Health",Public administration and healthcare
REGION SYDDANMARK,"Public, Education and Health",Public administration and healthcare
RIGSHOSPITALET,"Public, Education and Health",Public healthcare and hospital
RIGSPOLITIET,"Public, Education and Health",Law enforcement
SALLING GROUP,Trade and Transport,Retail trade (Supermarkets)
SAXO BANK,Financial and Insurance,Banking and investment
SIEMENS GAMESA RENEWABLE ENERGY,Manufacturing,Wind turbine manufacturing
SILKEBORG KOMMUNE,"Public, Education and Health",Public administration
SKANDERBORG KOMMUNE,"Public, Education and Health",Public administration
SPAREKASSEN DANMARK,Financial and Insurance,Banking
SPAREKASSEN KRONJYLLAND,Financial and Insurance,Banking
SVENDBORG KOMMUNE,"Public, Education and Health",Public administration
SYSTEMATIC,Information and Communication,Software development
TDC BRANDS,Information and Communication,Telecommunications
TELENOR,Information and Communication,Telecommunications
TERMA,Manufacturing,Aerospace and defense manufacturing
THISTED KOMMUNE,"Public, Education and Health",Public administration
TRYG FORSIKRING,Financial and Insurance,Insurance
VEJLE KOMMUNE,"Public, Education and Health",Public administration
VESTAS MANUFACTURING,Manufacturing,Wind turbine manufacturing
VESTAS WIND SYSTEMS,Manufacturing,Wind turbine manufacturing
WOLT DENMARK,Trade and Transport,Food delivery and logistics
